DOC_CD,DOC_DEPT_CD,DOC_ID,DOC_VERS_NO,DOC_DSCR,CONTRACT_SYNOPSIS,CONTRACT_CONTACT_NM,CONTRACT_CONTACT_VOICE_PH_NO,CONTRACT_CONTACT_EMAIL_AD,MA_PRCH_LMT_AM,MA_ITD_ORD_AM,MA_DO_RFED_AM,EFBGN_DT,EFEND_DT,GNRC_PO_RPT_1,RPT_DSCR,BRD_AWD_DT,BRD_AWD_NO,CAT_DSCR,DOC_VEND_LN_NO,VEND_CUST_CD,LGL_NM,ALIAS_NM,SO_DOC_CD,SO_DOC_DEPT_CD,SO_DOC_ID,TODAY,ROW_KEY
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,1,ARC8304977,ARCADIS US INC,N/A,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231ARC8304977
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,9,BLA7158805,BLACK & VEATCH CORPORATION,N/A,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231BLA7158805
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,11,CAM0933250,CDM SMITH INC,N/A,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231CAM0933250
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,7,CAR8306145,CAROLLO ENGINEERS INC,N/A,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231CAR8306145
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,3,CHI7027035,CP&Y INC,N/A,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231CHI7027035
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,6,CHM7087490,CH2M HILL INC,N/A,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231CHM7087490
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,2,EAR8307803,AECOM TECHNICAL SERVICES INC,N/A,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231EAR8307803
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,5,FRE1930500,FREESE AND NICHOLS INC,FREESE AND NICHOLS,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231FRE1930500
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,10,HDR8318192,HDR ENGINEERING INC,N/A,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231HDR8318192
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,4,JAC8308529,JACOBS ENGINEERING GROUP INC,JACOBS ENGINEERING GROUP,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231JAC8308529
MA,6100,PA160000042,31,2016 LARGE W&WW FACILITIES ENGINEERING SERVICES RL,,Capital Contracting Office,unknown,unknown,20000000,19013522.17,17675501.45,05/18/2016,12/31/2023,55,Pers / Prof / Plan Svcs (252),02/06/0016,5,Sole and Single Source,8,VS0000021255,"CH2M HILL ENGINEERS, INC.",CH2M HILL ENGINEERS,RFQS,6100,CLMP186,12/09/2024,MA6100PA16000004231VS0000021255
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,6,BLA7158805,BLACK & VEATCH CORPORATION,N/A,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423BLA7158805
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,8,BRO8318275,"BGE, INC",BROWN & GAY ENGINEERS INC,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423BRO8318275
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,1,CAS7170685,"CAS CONSULTING AND SERVICES, INC.",N/A,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423CAS7170685
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,5,DAV1449500,DAVCAR INC,DAVCAR ENGINEERING SERVICES,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423DAV1449500
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,12,DOU7019035,DOUCET & ASSOCIATES INC,N/A,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423DOU7019035
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,2,EAR8307803,AECOM TECHNICAL SERVICES INC,N/A,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423EAR8307803
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,4,JAC8308529,JACOBS ENGINEERING GROUP INC,JACOBS ENGINEERING GROUP,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423JAC8308529
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,7,LOC2921000,LOCKWOOD ANDREWS & NEWNAM INC,N/A,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423LOC2921000
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,9,PBS7133260,ATKINS NORTH AMERICA INC,ATKINS,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423PBS7133260
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,11,STA8322756,STANTEC CONSULTING SERVICES INC,N/A,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423STA8322756
MA,6100,PA170000034,23,2017 LARGE DIAMETER WTR & WASTEWATER PIPELINE ENGINEERING RL,,Capital Contracting Office,unknown,unknown,9999999.9,9419051.52,8516085.68,03/17/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),12/17/0016,2,Sole and Single Source,3,VC0000103053,CHAN & PARTNERS ENGINEERING LLC,N/A,RFQS,6100,CLMP201,12/09/2024,MA6100PA17000003423VC0000103053
MA,6100,PA170000045,9,2017 WATER AND WASTEWATER SCADA SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,5000000,4264660.73,3871254.45,05/08/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),03/25/0017,10,Sole and Single Source,2,ARC8304977,ARCADIS US INC,N/A,RFQS,6100,CLMP214,12/09/2024,MA6100PA1700000459ARC8304977
MA,6100,PA170000045,9,2017 WATER AND WASTEWATER SCADA SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,5000000,4264660.73,3871254.45,05/08/2017,12/31/2023,55,Pers / Prof / Plan Svcs (252),03/25/0017,10,Sole and Single Source,3,VS0000021255,"CH2M HILL ENGINEERS, INC.",CH2M HILL ENGINEERS,RFQS,6100,CLMP214,12/09/2024,MA6100PA1700000459VS0000021255
MA,6100,PA180000016,5,"ABIA CONSTRUCTION MAT, GEOTECHNICAL & FORENSIC ENG SRVCS",,Capital Contracting Office,unknown,unknown,15000000,3304066.21,2355391.85,03/28/2018,03/28/2024,55,Pers / Prof / Plan Svcs (252),02/17/0018,9,Sole and Single Source,7,BRY0839750,"FUGRO USA LAND, INC",N/A,RFQS,6100,CLMP236,12/09/2024,MA6100PA1800000165BRY0839750
MA,6100,PA180000016,5,"ABIA CONSTRUCTION MAT, GEOTECHNICAL & FORENSIC ENG SRVCS",,Capital Contracting Office,unknown,unknown,15000000,3304066.21,2355391.85,03/28/2018,03/28/2024,55,Pers / Prof / Plan Svcs (252),02/17/0018,9,Sole and Single Source,1,HBC8308050,TERRACON CONSULTANTS INC,N/A,RFQS,6100,CLMP236,12/09/2024,MA6100PA1800000165HBC8308050
MA,6100,PA180000016,5,"ABIA CONSTRUCTION MAT, GEOTECHNICAL & FORENSIC ENG SRVCS",,Capital Contracting Office,unknown,unknown,15000000,3304066.21,2355391.85,03/28/2018,03/28/2024,55,Pers / Prof / Plan Svcs (252),02/17/0018,9,Sole and Single Source,5,V00000911256,RODRIGUEZ ENGINEERING LABORATORIES LLC,RODRIGUEZ ENGINEERING LABORATORIES OR RODRIGUEZ ENGINEERING,RFQS,6100,CLMP236,12/09/2024,MA6100PA1800000165V00000911256
MA,6100,PA180000016,5,"ABIA CONSTRUCTION MAT, GEOTECHNICAL & FORENSIC ENG SRVCS",,Capital Contracting Office,unknown,unknown,15000000,3304066.21,2355391.85,03/28/2018,03/28/2024,55,Pers / Prof / Plan Svcs (252),02/17/0018,9,Sole and Single Source,6,V00000923991,"KLEINFELDER, INC.",KLEINFELDER,RFQS,6100,CLMP236,12/09/2024,MA6100PA1800000165V00000923991
MA,6100,PA180000016,5,"ABIA CONSTRUCTION MAT, GEOTECHNICAL & FORENSIC ENG SRVCS",,Capital Contracting Office,unknown,unknown,15000000,3304066.21,2355391.85,03/28/2018,03/28/2024,55,Pers / Prof / Plan Svcs (252),02/17/0018,9,Sole and Single Source,3,V00000939833,"HVJ SOUTH CENTRAL TEXAS - M&J, INC.",N/A,RFQS,6100,CLMP236,12/09/2024,MA6100PA1800000165V00000939833
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,10,ALL7111300,ALLIANCE TRANSPORTATION GROUP LLC,N/A,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109ALL7111300
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,8,BIN7163385,BINKLEY & BARFIELD INC,N/A,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109BIN7163385
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,4,BRO8318275,"BGE, INC",BROWN & GAY ENGINEERS INC,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109BRO8318275
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,6,CAM0933250,CDM SMITH INC,N/A,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109CAM0933250
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,2,CHI7027035,CP&Y INC,STV INFRASTRUCTURE,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109CHI7027035
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,11,DAN8320383,"DEC - CENTRAL TEXAS, LLC",N/A,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109DAN8320383
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,9,EAR8307803,AECOM TECHNICAL SERVICES INC,N/A,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109EAR8307803
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,7,FRE1930500,FREESE AND NICHOLS INC,FREESE AND NICHOLS,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109FRE1930500
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,1,HAL7038625,HALFF ASSOCIATES INC,HALFF,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109HAL7038625
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,5,KIM7074000,"KIMLEY-HORN AND ASSOCIATES, INC",N/A,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109KIM7074000
MA,6100,PA180000027,109,2018 CORRIDOR PROGRAM ENGINEERING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,115000000,111460417.18,96093332.19,04/27/2018,04/26/2025,55,Pers / Prof / Plan Svcs (252),03/24/0018,36,Sole and Single Source,3,LOC2921000,LOCKWOOD ANDREWS & NEWNAM INC,N/A,RFQS,6100,CLMP240,12/09/2024,MA6100PA180000027109LOC2921000
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,4,BRO8318275,"BGE, INC",BROWN & GAY ENGINEERS INC,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212BRO8318275
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,8,CHI7027035,CP&Y INC,STV INFRASTRUCTURE,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212CHI7027035
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,7,COB7111480,COBB FENDLEY & ASSOC INC,N/A,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212COB7111480
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,14,DOU7019035,DOUCET & ASSOCIATES INC,N/A,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212DOU7019035
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,3,HAL7038625,HALFF ASSOCIATES INC,HALFF,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212HAL7038625
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,5,HEJ7022940,HEJL LEE & ASSOC INC,N/A,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212HEJ7022940
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,18,JAC8308529,JACOBS ENGINEERING GROUP INC,JACOBS ENGINEERING GROUP,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212JAC8308529
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,1,LAN7050345,LANDMARK SURVEYING L P,N/A,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212LAN7050345
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,15,LEY8304176,LNV INC,LNV ENGINEERING,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212LEY8304176
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,6,MAR3044500,MWM DESIGNGROUP INC,"MWM DESIGNGROUP OR MARTINEZ, WRIGHT AND MENDEZ INC",RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212MAR3044500
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,2,MCG3115750,MCGRAY & MCGRAY LAND SURVEYORS INC,N/A,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212MCG3115750
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,12,PAP8302018,"PAPE-DAWSON CONSULTING ENGINEERS, LLC",PAPE-DAWSON ENGINEERS,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212PAP8302018
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,17,SUR7046940,SURVEYING AND MAPPING LLC,SAM LLC,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212SUR7046940
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,13,V00000912732,BOWMAN CONSULTING GROUP LTD,BOWMAN CONSULTING,RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212V00000912732
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,19,VS0000008095,"ARDURRA GROUP, INC.","KING ENGINEERING ASSOCIATES, INC.",RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212VS0000008095
MA,6100,PA190000022,12,2018 SURVEYING SERVICES ROTATION LIST,,Capital Contracting Office,unknown,unknown,6300000,3883002.09,3029866.8,01/09/2019,01/09/2024,55,Pers / Prof / Plan Svcs (252),11/17/0018,004,Sole and Single Source,16,WAT8308391,LANDESIGN SERVICES INC,"LANDESIGN SERVICES, INC.",RFQS,6100,CLMP239,12/09/2024,MA6100PA19000002212WAT8308391
MA,6100,PA190000067,12,WATERSHED PROTECTION LOCAL FLOOD RISK REDUCTION RL,,Capital Contracting Office,unknown,unknown,45030000,24367439.49,11976507.02,09/23/2019,12/31/2024,55,Pers / Prof / Plan Svcs (252),06/21/0019,9,Sole and Single Source,9,BIN7163385,BINKLEY & BARFIELD INC,N/A,RFQS,6100,CLMP259,12/09/2024,MA6100PA19000006712BIN7163385
MA,6100,PA190000067,12,WATERSHED PROTECTION LOCAL FLOOD RISK REDUCTION RL,,Capital Contracting Office,unknown,unknown,45030000,24367439.49,11976507.02,09/23/2019,12/31/2024,55,Pers / Prof / Plan Svcs (252),06/21/0019,9,Sole and Single Source,6,BRO8318275,"BGE, INC",BROWN & GAY ENGINEERS INC,RFQS,6100,CLMP259,12/09/2024,MA6100PA19000006712BRO8318275
MA,6100,PA190000067,12,WATERSHED PROTECTION LOCAL FLOOD RISK REDUCTION RL,,Capital Contracting Office,unknown,unknown,45030000,24367439.49,11976507.02,09/23/2019,12/31/2024,55,Pers / Prof / Plan Svcs (252),06/21/0019,9,Sole and Single Source,4,DOU7019035,DOUCET & ASSOCIATES INC,N/A,RFQS,6100,CLMP259,12/09/2024,MA6100PA19000006712DOU7019035
MA,6100,PA190000067,12,WATERSHED PROTECTION LOCAL FLOOD RISK REDUCTION RL,,Capital Contracting Office,unknown,unknown,45030000,24367439.49,11976507.02,09/23/2019,12/31/2024,55,Pers / Prof / Plan Svcs (252),06/21/0019,9,Sole and Single Source,1,EAR8307803,AECOM TECHNICAL SERVICES INC,N/A,RFQS,6100,CLMP259,12/09/2024,MA6100PA19000006712EAR8307803
MA,6100,PA190000067,12,WATERSHED PROTECTION LOCAL FLOOD RISK REDUCTION RL,,Capital Contracting Office,unknown,unknown,45030000,24367439.49,11976507.02,09/23/2019,12/31/2024,55,Pers / Prof / Plan Svcs (252),06/21/0019,9,Sole and Single Source,3,FRE1930500,FREESE AND NICHOLS INC,FREESE AND NICHOLS,RFQS,6100,CLMP259,12/09/2024,MA6100PA19000006712FRE1930500
MA,6100,PA190000067,12,WATERSHED PROTECTION LOCAL FLOOD RISK REDUCTION RL,,Capital Contracting Office,unknown,unknown,45030000,24367439.49,11976507.02,09/23/2019,12/31/2024,55,Pers / Prof / Plan Svcs (252),06/21/0019,9,Sole and Single Source,8,HAL7038625,HALFF ASSOCIATES INC,HALFF,RFQS,6100,CLMP259,12/09/2024,MA6100PA19000006712HAL7038625
MA,6100,PA190000067,12,WATERSHED PROTECTION LOCAL FLOOD RISK REDUCTION RL,,Capital Contracting Office,unknown,unknown,45030000,24367439.49,11976507.02,09/23/2019,12/31/2024,55,Pers / Prof / Plan Svcs (252),06/21/0019,9,Sole and Single Source,2,HDR8318192,HDR ENGINEERING INC,N/A,RFQS,6100,CLMP259,12/09/2024,MA6100PA19000006712HDR8318192
MA,6100,PA190000067,12,WATERSHED PROTECTION LOCAL FLOOD RISK REDUCTION RL,,Capital Contracting Office,unknown,unknown,45030000,24367439.49,11976507.02,09/23/2019,12/31/2024,55,Pers / Prof / Plan Svcs (252),06/21/0019,9,Sole and Single Source,10,KFR8309453,K FRIESE & ASSOC INC,N/A,RFQS,6100,CLMP259,12/09/2024,MA6100PA19000006712KFR8309453
MA,6100,PA190000067,12,WATERSHED PROTECTION LOCAL FLOOD RISK REDUCTION RL,,Capital Contracting Office,unknown,unknown,45030000,24367439.49,11976507.02,09/23/2019,12/31/2024,55,Pers / Prof / Plan Svcs (252),06/21/0019,9,Sole and Single Source,5,LOC2921000,LOCKWOOD ANDREWS & NEWNAM INC,N/A,RFQS,6100,CLMP259,12/09/2024,MA6100PA19000006712LOC2921000
MA,6100,PA190000067,12,WATERSHED PROTECTION LOCAL FLOOD RISK REDUCTION RL,,Capital Contracting Office,unknown,unknown,45030000,24367439.49,11976507.02,09/23/2019,12/31/2024,55,Pers / Prof / Plan Svcs (252),06/21/0019,9,Sole and Single Source,11,V00000914694,"H.W. LOCHNER, INC.","K FRIESE & ASSOCIATES, LLC",RFQS,6100,CLMP259,12/09/2024,MA6100PA19000006712V00000914694
